concept,influence_activation,stability_activation,activation_ratio
equality,-0.31769183,-0.04026994,7.889056503652443
fact,0.053134553,0.01599491,3.3219661324530403
logic,0.05290719,0.051736742,1.0226231472096214
truth,0.12284042,0.1636938,0.7504280445230812
faith,0.09521418,0.30922186,0.3079154209432744
belief,0.023912054,0.111732885,0.21401088219957662
emotion,-0.05703522,0.19342574,-0.29486880713142827
tradition,-0.058091354,0.17733988,-0.3275707232586074
justice,-0.19409505,0.39217472,-0.4949198266910789
passion,-0.23413472,0.2980352,-0.7855941664784909
competition,-0.2623256,0.29916963,-0.8768457345706211
mercy,-0.3240484,0.3671158,-0.8826871600608858
risk,-0.35274512,0.38384098,-0.9189876405124126
privacy,-0.2537764,0.25762206,-0.9850724630627977
reason,0.13126598,-0.11390968,-1.1523690346076791
safety,-0.2741854,0.23300211,-1.1767506592763717
loyalty,-0.2362164,0.19618022,-1.2040785231502968
preservation,-0.39458174,0.31804314,-1.2406547448906993
security,-0.24748263,0.18659252,-1.326326624746225
freedom,-0.13166475,0.091252565,-1.4428608221962191
individualism,-0.32513213,0.22499163,-1.4450854178253496
transparency,-0.29377285,0.17899959,-1.6411928556727156
fairness,-0.3556088,0.20079823,-1.7709757312376608
cooperation,-0.47817484,0.21310301,-2.2438670875351927
stability,-0.5536351,0.20654273,-2.6804870683320066
change,-0.2944498,0.10804415,-2.7252730511052725
collectivism,-0.57238317,0.13041097,-4.389072209415731
innovation,-0.48869666,0.0724809,-6.7424196420525515
efficiency,-0.4754886,0.049565446,-9.593146746922917
progress,-0.31196463,0.029536363,-10.562052724365145
