concept1,concept2,influence_score,stability_score
innovation,tradition,0.85,0.72
justice,mercy,0.78,0.85
freedom,security,0.82,0.68
individualism,collectivism,0.75,0.79
stability,change,0.71,0.83
nature,technology,0.69,0.77
reason,intuition,0.88,0.65
science,religion,0.83,0.81
progress,preservation,0.76,0.74
competition,cooperation,0.72,0.8
fact,belief,0.89,0.7
reason,faith,0.85,0.75
passion,reason,0.81,0.73
truth,loyalty,0.79,0.82
emotion,reason,0.84,0.71
pleasure,discipline,0.77,0.78
desire,duty,0.8,0.76
risk,safety,0.73,0.84
freedom,equality,0.86,0.69
privacy,security,0.82,0.74
